3.618 3.815 3.76 4.463 4.034 3.706 3.878 3.628 4.282 4.063

3.941 3.882 3.759 3.927 3.833 3.84 3.758 4.28 3.956 3.782

3.659 3.741 3.774 3.84 4.111 4.036 3.875 4.29 3.947 3.989

3.953 3.889 3.719 4.515 4.179 3.822 3.829 3.786 3.783 3.774

3.704 3.771 4.079 3.661 3.895 3.805 3.843 3.776 3.743 4.011

3.907 3.834 3.98 4.147 3.981 3.669 3.793 3.94 3.926 3.768

4.01 3.891 4.217 3.973 4.265 3.834 4.031 3.943 3.881 3.673

3.886 3.902 4.06 4.584 4.467 3.868 3.778 3.747 4.267 4.077

4.045 3.798 3.715 3.873 4.049 3.749 3.644 3.917 3.699 3.904

4.051 3.743 3.943 3.848 3.923 3.758 4.069 4.334 3.778 4.04
